"iso","model","rcp","ssp","rawtotal","flextotal","f2mort","f2total","meantas","impact_source","case_gamma","case_population","case_batch_collapsed"
"ARG","IIASA GDP","rcp45","SSP4",-1.51256237477982,1.20017367984671,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"ARG","IIASA GDP","rcp45","SSP4",-1.51256237477982,1.55503792043709,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"ARG","IIASA GDP","rcp45","SSP4",-1.51256237477982,2.07338389391612,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"ARG","IIASA GDP","rcp45","SSP4",-1.51256237477982,1.01444908729747,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"BOL","IIASA GDP","rcp45","SSP4",-12.3801760333101,-16.4303228739253,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"BOL","IIASA GDP","rcp45","SSP4",-12.3801760333101,-17.2285275152254,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"BOL","IIASA GDP","rcp45","SSP4",-12.3801760333101,-17.2804378754884,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"BOL","IIASA GDP","rcp45","SSP4",-12.3801760333101,-13.2205219201185,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"BOL","IIASA GDP","rcp45","SSP4",-12.3801760333101,-16.2839750834803,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"CMR","IIASA GDP","rcp45","SSP4",5.23043908383943,2.98250586119576,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"CMR","IIASA GDP","rcp45","SSP4",5.23043908383943,4.78761829450139,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"CMR","IIASA GDP","rcp45","SSP4",5.23043908383943,9.95726731573432,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"CMR","IIASA GDP","rcp45","SSP4",5.23043908383943,20.5877011195667,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"CMR","IIASA GDP","rcp45","SSP4",5.23043908383943,2.76501073102072,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"BFA","IIASA GDP","rcp45","SSP4",85.2250705147817,68.2511396373031,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"BFA","IIASA GDP","rcp45","SSP4",85.2250705147817,83.2096902736101,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"BFA","IIASA GDP","rcp45","SSP4",85.2250705147817,119.613103683909,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"BFA","IIASA GDP","rcp45","SSP4",85.2250705147817,182.465997215817,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"BFA","IIASA GDP","rcp45","SSP4",85.2250705147817,66.3042594070541,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"TKM","IIASA GDP","rcp45","SSP4",37.6036732788855,29.4659618559294,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"TKM","IIASA GDP","rcp45","SSP4",37.6036732788855,34.9628025565396,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"TKM","IIASA GDP","rcp45","SSP4",37.6036732788855,47.6916550650033,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"TKM","IIASA GDP","rcp45","SSP4",37.6036732788855,68.24582312815,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"TKM","IIASA GDP","rcp45","SSP4",37.6036732788855,28.7359777175463,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"BHR","IIASA GDP","rcp45","SSP4",23.8403910518527,20.6168700751223,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"BHR","IIASA GDP","rcp45","SSP4",23.8403910518527,25.0657196670623,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"BHR","IIASA GDP","rcp45","SSP4",23.8403910518527,35.845486058963,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"BHR","IIASA GDP","rcp45","SSP4",23.8403910518527,54.3542226736567,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"BHR","IIASA GDP","rcp45","SSP4",23.8403910518527,20.0367884954294,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"SAU","IIASA GDP","rcp45","SSP4",11.2734254792006,12.0965873870692,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"SAU","IIASA GDP","rcp45","SSP4",11.2734254792006,14.8395549517193,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"SAU","IIASA GDP","rcp45","SSP4",11.2734254792006,21.5767940758865,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"SAU","IIASA GDP","rcp45","SSP4",11.2734254792006,33.3449427615588,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"SAU","IIASA GDP","rcp45","SSP4",11.2734254792006,11.7409757957321,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"RWA","IIASA GDP","rcp45","SSP4",-35.3352955074201,-31.9544511480725,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"RWA","IIASA GDP","rcp45","SSP4",-35.3352955074201,-36.6596752235377,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"RWA","IIASA GDP","rcp45","SSP4",-35.3352955074201,-46.5601613276899,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"RWA","IIASA GDP","rcp45","SSP4",-35.3352955074201,-60.2515279110283,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"RWA","IIASA GDP","rcp45","SSP4",-35.3352955074201,-31.3072426366267,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"TGO","IIASA GDP","rcp45","SSP4",39.642811432627,39.3717714144391,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"TGO","IIASA GDP","rcp45","SSP4",39.642811432627,50.0061823450803,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"TGO","IIASA GDP","rcp45","SSP4",39.642811432627,77.238964692552,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"TGO","IIASA GDP","rcp45","SSP4",39.642811432627,127.227029684594,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"TGO","IIASA GDP","rcp45","SSP4",39.642811432627,38.0180640770593,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"JPN","IIASA GDP","rcp45","SSP4",15.2248574824472,15.3776569950602,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"JPN","IIASA GDP","rcp45","SSP4",15.2248574824472,18.8508295113615,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"JPN","IIASA GDP","rcp45","SSP4",15.2248574824472,27.3725936086171,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"JPN","IIASA GDP","rcp45","SSP4",15.2248574824472,42.2382689661919,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"JPN","IIASA GDP","rcp45","SSP4",15.2248574824472,14.9271761008368,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"CPV","IIASA GDP","rcp45","SSP4",-32.7949974743243,-22.6733138780221,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"CPV","IIASA GDP","rcp45","SSP4",-32.7949974743243,-26.245106894069,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"CPV","IIASA GDP","rcp45","SSP4",-32.7949974743243,-33.9948188626839,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"CPV","IIASA GDP","rcp45","SSP4",-32.7949974743243,-45.3062225444463,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"CPV","IIASA GDP","rcp45","SSP4",-32.7949974743243,-22.1872682231333,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"UMI","IIASA GDP","rcp45","SSP4",-12.578311451334,-18.5602878902211,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"UMI","IIASA GDP","rcp45","SSP4",-12.578311451334,-21.1616182040559,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"UMI","IIASA GDP","rcp45","SSP4",-12.578311451334,-26.5030409474088,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"UMI","IIASA GDP","rcp45","SSP4",-12.578311451334,-33.5542000793146,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"UMI","IIASA GDP","rcp45","SSP4",-12.578311451334,-18.1995040711327,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"MNP","IIASA GDP","rcp45","SSP4",-11.7898855267192,-16.1624642885798,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"MNP","IIASA GDP","rcp45","SSP4",-11.7898855267192,-17.5653627265599,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"MNP","IIASA GDP","rcp45","SSP4",-11.7898855267192,-19.5363582110253,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"MNP","IIASA GDP","rcp45","SSP4",-11.7898855267192,-19.7720266522411,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"MNP","IIASA GDP","rcp45","SSP4",-11.7898855267192,-15.9474645054286,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"SVN","IIASA GDP","rcp45","SSP4",-5.05016079913364,-5.23902578669164,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"SVN","IIASA GDP","rcp45","SSP4",-5.05016079913364,-1.60889567995023,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"SVN","IIASA GDP","rcp45","SSP4",-5.05016079913364,10.4486614144065,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"SVN","IIASA GDP","rcp45","SSP4",-5.05016079913364,38.3411486784674,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"SVN","IIASA GDP","rcp45","SSP4",-5.05016079913364,-5.63910538695649,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"GTM","IIASA GDP","rcp45","SSP4",-14.9937675079487,-14.507557896766,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
