"year","rcp45","rcp85"
2139,2.51525725424433,5.69303806908713
2140,2.5168000463852,5.72241767956573
2141,2.52150587450305,5.75479846963879
2142,2.52846637200953,5.7895113218532
2143,2.53504769024615,5.82409116967379
2144,2.54155921360334,5.8585458886136
2145,2.54646031665328,5.89137638651275
2146,2.5481360214033,5.92195883318304
2147,2.55016218324048,5.95229747223959
2148,2.55093406242327,5.98105100387176
2149,2.55151292557657,6.00900829681866
2150,2.55232554199984,6.03833968624388
2151,2.5541745638986,6.06720645857407
2152,2.55902331016091,6.09919609578059
2153,2.56804583960836,6.13459156397607
2154,2.580113794426,6.17203545958159
2155,2.58911027084061,6.20753156154018
2156,2.59569035728133,6.24087596404947
2157,2.59943927453066,6.27103598845634
2158,2.59934098599718,6.29645151606111
2159,2.59728090959346,6.31986676148737
2160,2.59543028695324,6.34377445483606
2161,2.5951667308491,6.36818860059957
2162,2.59851960945534,6.39614399955781
2163,2.6072461045411,6.42898705577478
2164,2.61969450807653,6.4653306822758
2165,2.62768670542705,6.49660640070826
2166,2.63520648021584,6.5271276054439
2167,2.63633168034356,6.55240123187175
2168,2.63507178364288,6.57428508860026
2169,2.63307721398096,6.59470640590261
2170,2.6311229004469,6.61511296428487
2171,2.63023750302841,6.63590215615646
2172,2.63208965993613,6.659748058504
2173,2.63897118254602,6.68795196623533
2174,2.64734532841775,6.71762482304413
2175,2.65633048437278,6.7478395023202
2176,2.66359664108862,6.77612624453182
2177,2.6676890699506,6.8012367366389
2178,2.66828719878292,6.82320364625777
2179,2.66785412123414,6.8429266806355
2180,2.66586162743608,6.86047338467749
2181,2.66370575391211,6.87945321941705
2182,2.66168154268392,6.89557211716944
2183,2.66111862272069,6.91559617096167
2184,2.66181775702812,6.93519610178285
2185,2.66544105935929,6.95750065501288
2186,2.67348346583847,6.98539441933235
2187,2.68127930302618,7.01144157088236
2188,2.68827410510305,7.03705052126649
2189,2.69522547511838,7.06179118475922
2190,2.6976503727185,7.0838718923754
2191,2.69684189673793,7.10175493067558
2192,2.69571600449776,7.11911108902412
2193,2.69536363904973,7.13659157153269
2194,2.6957494818931,7.1540384606692
2195,2.69791419109359,7.17289994934877
2196,2.70479271495948,7.19710174355515
2197,2.71498387624884,7.2237441097024
2198,2.72588607425312,7.25070024236577
2199,2.73287815664011,7.27453630896545
2200,2.73665944892327,7.29523392736723
2201,2.73665645723273,7.31103259051964
2202,2.73631982679495,7.32657240677932
2203,2.73564799429357,7.34088397782037
2204,2.7336814127133,7.35468244388081
2205,2.73269888085537,7.36989763016164
2206,2.73132781072282,7.38265352282894
2207,2.73241492988572,7.39957472226115
2208,2.73609930148197,7.41892603350098
2209,2.74287052761599,7.44011126246844
